id,title,tags,ssc_status,drwg_status,photo_file,x_px,y_px,phase,designation
291,AC Unit,Utility,Must Go,Remove,291.JPG,2971,2374,phase 3,
292,Sprinkler Valve,Utility,Must Go,Not Noted,292.JPG,2703,2450,phase 3,V
293,Sprinkler Control Valve,Utility,Must Go,Keep,293.JPG,2735,2449,phase 3,
294,Fence,Site Furnishing,Must Go,Remove,294.JPG,2488,2415,phase 3,
295,Stop Sign,Site Furnishing,Must Go,Remove,295.JPG,2219,2115,phase 3,
296,Mail Box,Site Furnishing,Must Go,Remove,296.JPG,2512,2097,phase 3,
297,Mail Box,Site Furnishing,Must Go,Remove,297.JPG,2970,2137,phase 3,
298,Water Valve,Utility,Must Go,Remove,298.JPG,3057,2183,phase 3,
299,Storm Drain,Utility,Must Go,Remove,299.JPG,2802,2120,phase 3,
300,Storm Drain,Utility,Must Go,Remove,300.JPG,2750,2344,phase 3,
301,Sprinkler Control Valve,Utility,Must Go,Remove,301.JPG,4010,184,phase 2,
302,Electrical Handhole,Electrical,Must Go,Not Noted,302.JPG,2384,1572,phase 1b,V
303,Gas Meter,Utility,Must Go,Remove,303.JPG,3406,2385,phase 3,
304,Storm Drain,Utility,Must Go,Remove,304.JPG,3389,2099,phase 3,
